ALLER_TYPE,RETURN_TYPE,AIRLINE_ALLER,AIRLINE_RETOUR,CITY_ARRIVAL,CITY_DEPARTURE,DATE_DE_DEPART,DATE_DE_RETOUR,HOR_ARRI,HOR_DEP,HOR_DEP_RETOUR,HOR_RETOUR,PRICE,FLIGHT_DURATION_DEPARTURE,FLIGHT_DURATION_RETURN,SEASON,FLIGHT_ROUTE,PRICE_CATEGORY
Vol direct,1 escale,British Airways,Delta Air Lines,Athens,Dublin,2023-03-14,2023-05-13,04:17:00,14:04:00,03:08:00,15:39:00,380,587,751,Spring,Dublin - Athens,Standard
2 esclaes,1 escale,Emirates,American Airlines,Rio de Janeiro,Marrakech,2023-04-14,2023-04-17,01:40:00,23:30:00,18:18:00,19:26:00,81,1310,68,Spring,Marrakech - Rio de Janeiro,Budget
1 esclae,Vol direct,Ryanair,Southwest Airlines,Copenhagen,Istanbul,2023-04-01,2023-06-08,03:36:00,16:06:00,21:08:00,23:43:00,583,750,155,Spring,Istanbul - Copenhagen,Premium
1 esclae,1 escale,American Airlines,ANA - All Nippon Airways,Casablanca,Rabat,2023-06-26,2023-07-23,06:17:00,19:47:00,15:42:00,22:12:00,438,810,390,Summer,Rabat - Casablanca,Standard
2 esclaes,Vol direct,Emirates,JetBlue Airways,Rabat,Fes,2023-05-20,2023-07-06,01:40:00,13:33:00,03:43:00,11:12:00,742,713,449,Spring,Fes - Rabat,Premium
2 esclaes,2 escales,American Airlines,Ryanair,Tangier,Fes,2023-04-13,2023-04-26,04:22:00,03:44:00,04:44:00,21:23:00,886,38,999,Spring,Fes - Tangier,Premium
2 esclaes,Vol direct,Virgin Atlantic,United Airlines,Dublin,Delhi,2023-04-07,2023-07-24,02:26:00,03:17:00,13:33:00,14:49:00,211,51,76,Spring,Delhi - Dublin,Standard
Vol direct,2 escales,Etihad Airways,Virgin Atlantic,New York,Istanbul,2023-03-21,2023-05-09,05:10:00,12:53:00,22:39:00,23:04:00,346,463,25,Spring,Istanbul - New York,Standard
1 esclae,Vol direct,Lufthansa,Delta Air Lines,Sydney,Delhi,2023-04-12,2023-04-29,05:58:00,17:26:00,07:15:00,19:09:00,202,688,714,Spring,Delhi - Sydney,Standard
2 esclaes,1 escale,Air France,United Airlines,Tangier,Rome,2023-06-16,2023-07-22,01:20:00,16:04:00,15:33:00,20:51:00,821,884,318,Summer,Rome - Tangier,Premium
2 esclaes,Vol direct,Etihad Airways,Ryanair,Los Angeles,Amsterdam,2023-05-31,2023-07-17,03:13:00,11:11:00,16:19:00,18:33:00,938,478,134,Spring,Amsterdam - Los Angeles,Premium
1 esclae,2 escales,AirAsia,ANA - All Nippon Airways,Moscow,Dublin,2023-06-19,2023-07-21,04:17:00,03:02:00,12:36:00,13:16:00,53,75,40,Summer,Dublin - Moscow,Budget
1 esclae,1 escale,AirAsia,Qantas,Vienna,Paris,2023-05-28,2023-06-11,06:58:00,16:02:00,05:59:00,13:54:00,140,544,475,Spring,Paris - Vienna,Budget
2 esclaes,1 escale,American Airlines,Ryanair,Paris,Cairo,2023-06-23,2023-07-27,02:20:00,09:20:00,08:53:00,21:09:00,548,420,736,Summer,Cairo - Paris,Premium
Vol direct,Vol direct,AirAsia,JetBlue Airways,San Francisco,Amsterdam,2023-05-23,2023-06-28,04:43:00,09:47:00,13:56:00,21:46:00,363,304,470,Spring,Amsterdam - San Francisco,Standard
2 esclaes,2 escales,KLM Royal Dutch Airlines,Qantas,Barcelona,Casablanca,2023-04-25,2023-05-25,04:44:00,03:16:00,17:10:00,19:59:00,826,88,169,Spring,Casablanca - Barcelona,Premium
1 esclae,1 escale,KLM Royal Dutch Airlines,Ryanair,Stockholm,Moscow,2023-07-16,2023-07-20,01:12:00,15:53:00,05:05:00,09:49:00,389,881,284,Summer,Moscow - Stockholm,Standard
1 esclae,Vol direct,Etihad Airways,Qantas,Dublin,Fes,2023-06-24,2023-06-28,02:43:00,00:44:00,23:16:00,23:31:00,949,119,15,Summer,Fes - Dublin,Premium
2 esclaes,Vol direct,Singapore Airlines,Alitalia,Barcelona,New York,2023-07-14,2023-07-28,01:36:00,05:31:00,18:11:00,22:51:00,256,235,280,Summer,New York - Barcelona,Standard
1 esclae,2 escales,American Airlines,Etihad Airways,Tokyo,Rabat,2023-05-27,2023-07-11,05:24:00,18:38:00,13:13:00,15:39:00,311,794,146,Spring,Rabat - Tokyo,Standard
2 esclaes,1 escale,Japan Airlines,American Airlines,Amsterdam,Delhi,2023-03-03,2023-05-17,05:11:00,01:31:00,02:37:00,09:44:00,289,220,427,Spring,Delhi - Amsterdam,Standard
1 esclae,1 escale,Southwest Airlines,Ryanair,New York,San Francisco,2023-01-16,2023-07-04,04:43:00,07:29:00,23:01:00,23:36:00,469,166,35,Winter,San Francisco - New York,Standard
2 esclaes,2 escales,Air France,United Airlines,Moscow,Copenhagen,2023-03-17,2023-07-07,05:23:00,04:47:00,06:10:00,21:27:00,892,36,917,Spring,Copenhagen - Moscow,Premium
1 esclae,Vol direct,Qatar Airways,Japan Airlines,Tokyo,London,2023-04-03,2023-05-01,05:55:00,06:10:00,14:38:00,16:34:00,359,15,116,Spring,London - Tokyo,Standard
1 esclae,1 escale,Southwest Airlines,Turkish Airlines,Amsterdam,Fes,2023-06-10,2023-07-16,02:26:00,11:32:00,06:08:00,23:06:00,463,546,1018,Summer,Fes - Amsterdam,Standard
Vol direct,Vol direct,Virgin Atlantic,Ryanair,Los Angeles,Paris,2023-02-14,2023-06-08,04:46:00,11:56:00,01:57:00,14:57:00,966,430,780,Winter,Paris - Los Angeles,Premium
Vol direct,2 escales,Emirates,Cathay Pacific,Tokyo,Istanbul,2023-05-11,2023-07-07,02:09:00,22:57:00,13:18:00,22:59:00,336,1248,581,Spring,Istanbul - Tokyo,Standard
2 esclaes,Vol direct,ANA - All Nippon Airways,Delta Air Lines,London,Rome,2023-02-04,2023-05-11,05:38:00,13:54:00,00:36:00,05:28:00,986,496,292,Winter,Rome - London,Premium
Vol direct,Vol direct,Qatar Airways,Southwest Airlines,Copenhagen,New York,2023-07-20,2023-07-25,02:02:00,15:36:00,23:22:00,23:58:00,117,814,36,Summer,New York - Copenhagen,Budget
2 esclaes,1 escale,Qatar Airways,Ryanair,Cairo,Rabat,2023-06-21,2023-07-25,02:43:00,23:27:00,03:36:00,16:16:00,646,1244,760,Summer,Rabat - Cairo,Premium
Vol direct,1 escale,Turkish Airlines,China Eastern Airlines,Tangier,Tokyo,2023-05-11,2023-06-13,02:36:00,01:42:00,10:12:00,20:43:00,487,54,631,Spring,Tokyo - Tangier,Standard
1 esclae,Vol direct,American Airlines,British Airways,Berlin,Casablanca,2023-02-10,2023-03-03,02:15:00,17:23:00,08:28:00,09:54:00,744,908,86,Winter,Casablanca - Berlin,Premium
2 esclaes,Vol direct,Air Canada,China Eastern Airlines,Vienna,Athens,2023-01-26,2023-07-29,01:08:00,20:10:00,10:12:00,22:11:00,157,1142,719,Winter,Athens - Vienna,Budget
2 esclaes,1 escale,Qantas,Southwest Airlines,Amsterdam,Rome,2023-07-09,2023-07-20,02:37:00,13:39:00,06:49:00,11:48:00,880,662,299,Summer,Rome - Amsterdam,Premium
Vol direct,1 escale,Southwest Airlines,Ryanair,London,Casablanca,2023-02-12,2023-03-02,06:11:00,11:17:00,03:53:00,17:48:00,892,306,835,Winter,Casablanca - London,Premium
Vol direct,Vol direct,JetBlue Airways,Alitalia,Vienna,Fes,2023-07-22,2023-07-31,06:06:00,17:16:00,12:18:00,20:18:00,442,670,480,Summer,Fes - Vienna,Standard
Vol direct,1 escale,Qantas,Ryanair,Istanbul,Vienna,2023-01-02,2023-03-19,05:10:00,22:12:00,13:19:00,15:48:00,332,1022,149,Winter,Vienna - Istanbul,Standard
2 esclaes,1 escale,United Airlines,American Airlines,Delhi,Marrakech,2023-04-18,2023-06-02,01:13:00,05:39:00,00:55:00,22:38:00,157,266,1303,Spring,Marrakech - Delhi,Budget
1 esclae,2 escales,Ryanair,American Airlines,London,Delhi,2023-05-14,2023-07-03,03:07:00,10:24:00,13:19:00,16:01:00,714,437,162,Spring,Delhi - London,Premium
Vol direct,1 escale,Qatar Airways,United Airlines,Fes,Berlin,2023-06-09,2023-07-09,01:16:00,18:43:00,09:39:00,12:45:00,727,1047,186,Summer,Berlin - Fes,Premium
2 esclaes,Vol direct,Japan Airlines,Ryanair,San Francisco,Casablanca,2023-05-19,2023-05-31,02:37:00,16:20:00,11:40:00,16:03:00,405,823,263,Spring,Casablanca - San Francisco,Standard
1 esclae,1 escale,Qantas,Virgin Atlantic,Casablanca,Cairo,2023-05-28,2023-07-12,06:03:00,08:37:00,10:16:00,15:48:00,593,154,332,Spring,Cairo - Casablanca,Premium
Vol direct,Vol direct,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,Barcelona,Delhi,2023-01-31,2023-06-15,02:55:00,23:59:00,07:29:00,12:32:00,808,1264,303,Winter,Delhi - Barcelona,Premium
1 esclae,Vol direct,Turkish Airlines,Ryanair,Delhi,Barcelona,2023-04-11,2023-05-29,06:21:00,10:20:00,02:35:00,10:49:00,491,239,494,Spring,Barcelona - Delhi,Standard
1 esclae,1 escale,Air France,AirAsia,Tokyo,Rome,2023-07-28,2023-07-30,06:46:00,04:14:00,02:39:00,03:45:00,480,152,66,Summer,Rome - Tokyo,Standard
2 esclaes,2 escales,Japan Airlines,Delta Air Lines,Berlin,Moscow,2023-01-14,2023-03-08,02:01:00,13:09:00,09:12:00,18:58:00,544,668,586,Winter,Moscow - Berlin,Premium
1 esclae,2 escales,AirAsia,Southwest Airlines,New York,Amsterdam,2023-05-02,2023-05-26,02:44:00,17:41:00,15:30:00,16:21:00,753,897,51,Spring,Amsterdam - New York,Premium
Vol direct,Vol direct,Virgin Atlantic,Qatar Airways,Dublin,Vienna,2023-01-19,2023-03-24,03:39:00,21:19:00,14:01:00,21:15:00,721,1060,434,Winter,Vienna - Dublin,Premium
1 esclae,2 escales,Singapore Airlines,British Airways,Copenhagen,Cairo,2023-02-16,2023-05-24,01:06:00,17:36:00,12:37:00,23:43:00,950,990,666,Winter,Cairo - Copenhagen,Premium
2 esclaes,2 escales,Air Canada,ANA - All Nippon Airways,Stockholm,Los Angeles,2023-06-27,2023-07-14,05:11:00,10:51:00,20:05:00,23:13:00,463,340,188,Summer,Los Angeles - Stockholm,Standard
2 esclaes,Vol direct,United Airlines,Ryanair,Los Angeles,Delhi,2023-04-04,2023-06-03,04:47:00,21:37:00,14:07:00,18:12:00,131,1010,245,Spring,Delhi - Los Angeles,Budget
Vol direct,Vol direct,Turkish Airlines,Singapore Airlines,New York,Berlin,2023-07-10,2023-07-24,01:58:00,02:50:00,04:31:00,22:17:00,218,52,1066,Summer,Berlin - New York,Standard
2 esclaes,Vol direct,Virgin Atlantic,Turkish Airlines,Tokyo,Sydney,2023-03-17,2023-05-17,03:24:00,08:08:00,15:27:00,21:44:00,965,284,377,Spring,Sydney - Tokyo,Premium
2 esclaes,Vol direct,Qantas,Cathay Pacific,Sydney,Tangier,2023-06-29,2023-07-19,02:22:00,13:36:00,14:03:00,14:30:00,392,674,27,Summer,Tangier - Sydney,Standard
Vol direct,2 escales,Southwest Airlines,Etihad Airways,Rio de Janeiro,New York,2023-07-01,2023-07-20,06:16:00,06:34:00,18:52:00,22:18:00,516,18,206,Summer,New York - Rio de Janeiro,Premium
1 esclae,2 escales,AirAsia,Etihad Airways,Paris,Casablanca,2023-07-30,2023-07-31,05:45:00,13:08:00,00:23:00,00:45:00,957,443,22,Summer,Casablanca - Paris,Premium
Vol direct,Vol direct,KLM Royal Dutch Airlines,KLM Royal Dutch Airlines,Los Angeles,Copenhagen,2023-04-25,2023-07-07,05:59:00,15:36:00,11:50:00,16:57:00,892,577,307,Spring,Copenhagen - Los Angeles,Premium
1 esclae,2 escales,United Airlines,ANA - All Nippon Airways,Rome,Marrakech,2023-05-18,2023-06-08,05:38:00,23:05:00,13:07:00,22:47:00,428,1047,580,Spring,Marrakech - Rome,Standard
1 esclae,1 escale,Singapore Airlines,American Airlines,Athens,Tokyo,2023-02-01,2023-04-01,04:50:00,12:53:00,22:27:00,23:33:00,364,483,66,Winter,Tokyo - Athens,Standard
2 esclaes,1 escale,Qatar Airways,Etihad Airways,Fes,Athens,2023-05-11,2023-07-21,06:56:00,05:13:00,15:45:00,23:02:00,289,103,437,Spring,Athens - Fes,Standard
1 esclae,Vol direct,Japan Airlines,Qantas,Rome,Berlin,2023-02-12,2023-04-03,03:53:00,06:24:00,16:07:00,16:56:00,260,151,49,Winter,Berlin - Rome,Standard
2 esclaes,Vol direct,Qatar Airways,American Airlines,Rio de Janeiro,Berlin,2023-04-21,2023-07-17,03:39:00,09:57:00,05:48:00,12:10:00,939,378,382,Spring,Berlin - Rio de Janeiro,Premium
2 esclaes,2 escales,Emirates,Qatar Airways,Casablanca,Rio de Janeiro,2023-03-24,2023-07-15,06:15:00,14:58:00,10:03:00,16:09:00,400,523,366,Spring,Rio de Janeiro - Casablanca,Standard
2 esclaes,Vol direct,Singapore Airlines,Japan Airlines,Casablanca,Amsterdam,2023-01-08,2023-01-27,05:58:00,09:32:00,16:43:00,20:58:00,847,214,255,Winter,Amsterdam - Casablanca,Premium
2 esclaes,1 escale,Air France,Lufthansa,Stockholm,Moscow,2023-02-17,2023-05-19,05:54:00,00:14:00,15:00:00,18:18:00,324,340,198,Winter,Moscow - Stockholm,Standard
Vol direct,Vol direct,British Airways,British Airways,Rabat,Dublin,2023-06-27,2023-07-25,03:30:00,14:54:00,09:09:00,15:35:00,464,684,386,Summer,Dublin - Rabat,Standard
Vol direct,1 escale,Finnair,British Airways,Moscow,Casablanca,2023-07-05,2023-07-25,01:09:00,07:44:00,02:06:00,09:31:00,797,395,445,Summer,Casablanca - Moscow,Premium
2 esclaes,Vol direct,Alitalia,Japan Airlines,Stockholm,Delhi,2023-02-01,2023-02-19,02:52:00,09:07:00,11:06:00,13:04:00,146,375,118,Winter,Delhi - Stockholm,Budget
1 esclae,Vol direct,Virgin Atlantic,American Airlines,Dublin,Stockholm,2023-01-09,2023-03-04,06:15:00,02:43:00,02:01:00,10:36:00,209,212,515,Winter,Stockholm - Dublin,Standard
Vol direct,1 escale,Ryanair,Turkish Airlines,Casablanca,Tangier,2023-05-15,2023-05-23,06:27:00,06:02:00,10:30:00,11:06:00,931,25,36,Spring,Tangier - Casablanca,Premium
Vol direct,Vol direct,Alitalia,Air France,Marrakech,Berlin,2023-02-10,2023-05-19,03:47:00,22:19:00,09:59:00,18:51:00,883,1112,532,Winter,Berlin - Marrakech,Premium
Vol direct,2 escales,Qantas,China Eastern Airlines,New York,Tokyo,2023-03-17,2023-05-19,04:38:00,01:09:00,14:44:00,21:13:00,683,209,389,Spring,Tokyo - New York,Premium
2 esclaes,1 escale,Ryanair,ANA - All Nippon Airways,London,New York,2023-03-29,2023-06-28,04:24:00,18:20:00,14:47:00,22:19:00,811,836,452,Spring,New York - London,Premium
2 esclaes,1 escale,KLM Royal Dutch Airlines,Air France,Amsterdam,Marrakech,2023-05-15,2023-06-23,06:57:00,08:11:00,11:13:00,22:59:00,707,74,706,Spring,Marrakech - Amsterdam,Premium
2 esclaes,2 escales,Turkish Airlines,Royal Air Maroc,Moscow,Sydney,2023-05-21,2023-06-25,03:17:00,19:27:00,02:21:00,18:19:00,461,970,958,Spring,Sydney - Moscow,Standard
2 esclaes,1 escale,Air Canada,Air Canada,Rabat,Delhi,2023-02-03,2023-02-09,02:41:00,11:49:00,11:53:00,20:22:00,264,548,509,Winter,Delhi - Rabat,Standard
Vol direct,2 escales,American Airlines,Alitalia,Athens,Tangier,2023-07-31,2023-08-01,01:51:00,05:09:00,16:15:00,22:01:00,631,198,346,Summer,Tangier - Athens,Premium
Vol direct,1 escale,Etihad Airways,Japan Airlines,Dublin,Istanbul,2023-07-15,2023-07-23,06:35:00,03:44:00,03:50:00,16:30:00,837,171,760,Summer,Istanbul - Dublin,Premium
1 esclae,1 escale,American Airlines,Japan Airlines,Fes,San Francisco,2023-05-14,2023-05-19,05:47:00,14:10:00,18:15:00,23:40:00,411,503,325,Spring,San Francisco - Fes,Standard
Vol direct,2 escales,Ryanair,Air Canada,Barcelona,Berlin,2023-06-28,2023-07-01,04:47:00,04:10:00,01:23:00,15:19:00,711,37,836,Summer,Berlin - Barcelona,Premium
1 esclae,Vol direct,Singapore Airlines,Delta Air Lines,Rome,Tokyo,2023-01-27,2023-06-19,03:31:00,20:21:00,06:50:00,20:20:00,194,1010,810,Winter,Tokyo - Rome,Budget
Vol direct,2 escales,Virgin Atlantic,Singapore Airlines,Moscow,Berlin,2023-05-16,2023-06-26,03:50:00,07:31:00,17:38:00,19:42:00,446,221,124,Spring,Berlin - Moscow,Standard
2 esclaes,2 escales,Ryanair,American Airlines,Vienna,New York,2023-06-27,2023-07-30,04:54:00,01:04:00,15:52:00,22:32:00,563,230,400,Summer,New York - Vienna,Premium
2 esclaes,Vol direct,United Airlines,United Airlines,London,Delhi,2023-04-04,2023-04-29,03:11:00,16:01:00,07:56:00,11:40:00,713,770,224,Spring,Delhi - London,Premium
Vol direct,1 escale,Qantas,Ryanair,Sydney,Rabat,2023-01-30,2023-06-13,06:47:00,16:54:00,00:33:00,22:29:00,310,607,1316,Winter,Rabat - Sydney,Standard
2 esclaes,1 escale,Royal Air Maroc,Ryanair,Rome,Marrakech,2023-06-06,2023-07-04,06:58:00,22:03:00,12:37:00,23:56:00,604,905,679,Summer,Marrakech - Rome,Premium
2 esclaes,2 escales,Qantas,Qantas,New York,Rome,2023-03-02,2023-04-06,05:46:00,11:09:00,21:18:00,21:33:00,468,323,15,Spring,Rome - New York,Standard
Vol direct,1 escale,Etihad Airways,Qatar Airways,Dublin,Cairo,2023-05-17,2023-06-26,05:48:00,04:56:00,03:19:00,18:24:00,224,52,905,Spring,Cairo - Dublin,Standard
2 esclaes,2 escales,United Airlines,Air France,New York,Vienna,2023-06-18,2023-07-29,04:10:00,09:57:00,20:08:00,22:28:00,65,347,140,Summer,Vienna - New York,Budget
1 esclae,2 escales,Japan Airlines,Air Canada,London,Los Angeles,2023-07-09,2023-07-19,03:06:00,05:01:00,07:40:00,21:03:00,546,115,803,Summer,Los Angeles - London,Premium
Vol direct,2 escales,Air France,Ryanair,Istanbul,Paris,2023-04-24,2023-07-04,06:58:00,07:54:00,19:15:00,21:20:00,865,56,125,Spring,Paris - Istanbul,Premium
2 esclaes,2 escales,Turkish Airlines,China Eastern Airlines,Sydney,Rio de Janeiro,2023-03-10,2023-07-15,01:11:00,08:19:00,14:08:00,20:43:00,230,428,395,Spring,Rio de Janeiro - Sydney,Standard
1 esclae,2 escales,Singapore Airlines,British Airways,Rio de Janeiro,Sydney,2023-05-20,2023-06-25,05:33:00,07:09:00,21:45:00,22:28:00,188,96,43,Spring,Sydney - Rio de Janeiro,Budget
Vol direct,2 escales,Singapore Airlines,Delta Air Lines,Rabat,Moscow,2023-07-12,2023-07-20,05:16:00,15:13:00,06:53:00,11:11:00,392,597,258,Summer,Moscow - Rabat,Standard
2 esclaes,1 escale,ANA - All Nippon Airways,British Airways,Berlin,Delhi,2023-05-15,2023-06-02,01:42:00,12:05:00,18:40:00,22:19:00,866,623,219,Spring,Delhi - Berlin,Premium
Vol direct,2 escales,Southwest Airlines,Cathay Pacific,Dublin,San Francisco,2023-04-20,2023-04-26,03:12:00,09:42:00,16:25:00,19:12:00,81,390,167,Spring,San Francisco - Dublin,Budget
Vol direct,2 escales,ANA - All Nippon Airways,Emirates,Paris,Stockholm,2023-02-10,2023-06-11,01:35:00,06:19:00,01:44:00,04:31:00,379,284,167,Winter,Stockholm - Paris,Standard
Vol direct,Vol direct,Royal Air Maroc,Alitalia,Rabat,Dublin,2023-07-14,2023-07-17,04:38:00,09:50:00,14:22:00,16:45:00,508,312,143,Summer,Dublin - Rabat,Premium
2 esclaes,2 escales,Air France,Japan Airlines,Los Angeles,Rabat,2023-02-22,2023-04-22,06:08:00,23:58:00,03:09:00,04:55:00,721,1070,106,Winter,Rabat - Los Angeles,Premium
Vol direct,2 escales,JetBlue Airways,KLM Royal Dutch Airlines,Fes,Berlin,2023-01-27,2023-05-27,03:28:00,10:54:00,06:05:00,08:34:00,982,446,149,Winter,Berlin - Fes,Premium
2 esclaes,1 escale,JetBlue Airways,Air France,Delhi,Cairo,2023-02-17,2023-04-22,02:48:00,14:32:00,10:14:00,20:39:00,613,704,625,Winter,Cairo - Delhi,Premium
2 esclaes,1 escale,Japan Airlines,ANA - All Nippon Airways,Barcelona,Berlin,2023-03-08,2023-04-29,06:08:00,15:41:00,09:14:00,15:48:00,751,573,394,Spring,Berlin - Barcelona,Premium
Vol direct,2 escales,Lufthansa,China Eastern Airlines,Istanbul,Marrakech,2023-04-19,2023-04-27,03:44:00,08:32:00,03:56:00,08:04:00,518,288,248,Spring,Marrakech - Istanbul,Premium
Vol direct,2 escales,Etihad Airways,American Airlines,Moscow,Los Angeles,2023-02-08,2023-05-09,06:31:00,20:09:00,16:38:00,17:23:00,162,818,45,Winter,Los Angeles - Moscow,Budget
1 esclae,Vol direct,Qatar Airways,Lufthansa,Dublin,Rome,2023-01-11,2023-06-11,04:25:00,07:17:00,04:46:00,08:22:00,242,172,216,Winter,Rome - Dublin,Standard
Vol direct,1 escale,Alitalia,Air Canada,Berlin,San Francisco,2023-02-22,2023-04-12,04:51:00,09:53:00,12:39:00,21:35:00,867,302,536,Winter,San Francisco - Berlin,Premium
Vol direct,1 escale,United Airlines,Lufthansa,Marrakech,Cairo,2023-06-09,2023-07-03,05:28:00,22:08:00,13:13:00,18:23:00,102,1000,310,Summer,Cairo - Marrakech,Budget
1 esclae,2 escales,Delta Air Lines,Turkish Airlines,Casablanca,Stockholm,2023-01-13,2023-03-26,01:31:00,22:34:00,10:23:00,22:00:00,696,1263,697,Winter,Stockholm - Casablanca,Premium
2 esclaes,Vol direct,Turkish Airlines,American Airlines,San Francisco,Stockholm,2023-05-10,2023-05-19,06:56:00,03:56:00,06:47:00,21:33:00,936,180,886,Spring,Stockholm - San Francisco,Premium
Vol direct,1 escale,Etihad Airways,Emirates,Delhi,Moscow,2023-01-30,2023-04-14,04:22:00,20:20:00,15:41:00,18:48:00,390,958,187,Winter,Moscow - Delhi,Standard
2 esclaes,Vol direct,Air Canada,JetBlue Airways,Marrakech,Vienna,2023-01-14,2023-02-21,06:54:00,02:34:00,01:08:00,01:42:00,573,260,34,Winter,Vienna - Marrakech,Premium
Vol direct,Vol direct,ANA - All Nippon Airways,ANA - All Nippon Airways,Moscow,Rome,2023-03-08,2023-03-20,04:48:00,13:31:00,23:05:00,23:56:00,626,523,51,Spring,Rome - Moscow,Premium
Vol direct,2 escales,Singapore Airlines,Turkish Airlines,San Francisco,Rome,2023-02-28,2023-05-27,03:23:00,04:26:00,15:22:00,19:35:00,422,63,253,Winter,Rome - San Francisco,Standard
1 esclae,Vol direct,Virgin Atlantic,ANA - All Nippon Airways,Barcelona,Cairo,2023-03-14,2023-06-29,03:04:00,10:17:00,03:02:00,07:54:00,637,433,292,Spring,Cairo - Barcelona,Premium
1 esclae,2 escales,United Airlines,Cathay Pacific,Los Angeles,Delhi,2023-03-22,2023-05-11,06:03:00,01:53:00,12:39:00,20:47:00,979,250,488,Spring,Delhi - Los Angeles,Premium
1 esclae,1 escale,British Airways,Emirates,Barcelona,New York,2023-07-21,2023-07-27,04:52:00,00:49:00,03:10:00,21:06:00,428,243,1076,Summer,New York - Barcelona,Standard
1 esclae,Vol direct,United Airlines,American Airlines,Barcelona,Vienna,2023-06-21,2023-07-18,03:12:00,20:51:00,15:19:00,23:50:00,497,1059,511,Summer,Vienna - Barcelona,Standard
Vol direct,2 escales,Delta Air Lines,AirAsia,London,Barcelona,2023-05-15,2023-07-18,01:00:00,07:22:00,07:13:00,07:58:00,810,382,45,Spring,Barcelona - London,Premium
2 esclaes,1 escale,Southwest Airlines,Ryanair,Copenhagen,Berlin,2023-07-23,2023-07-31,04:37:00,01:29:00,07:50:00,12:09:00,332,188,259,Summer,Berlin - Copenhagen,Standard
Vol direct,Vol direct,Alitalia,Finnair,Moscow,Delhi,2023-06-04,2023-07-04,06:19:00,07:46:00,23:12:00,23:55:00,682,87,43,Summer,Delhi - Moscow,Premium
Vol direct,Vol direct,Singapore Airlines,Ryanair,Los Angeles,Athens,2023-05-11,2023-06-12,01:57:00,16:20:00,21:13:00,23:57:00,982,863,164,Spring,Athens - Los Angeles,Premium
1 esclae,1 escale,Finnair,Emirates,New York,Athens,2023-05-06,2023-06-19,02:19:00,18:17:00,07:50:00,15:46:00,425,958,476,Spring,Athens - New York,Standard
2 esclaes,Vol direct,British Airways,Alitalia,Paris,Cairo,2023-03-10,2023-05-24,05:42:00,17:19:00,14:41:00,23:44:00,962,697,543,Spring,Cairo - Paris,Premium
1 esclae,2 escales,Etihad Airways,KLM Royal Dutch Airlines,Istanbul,London,2023-02-15,2023-06-09,04:22:00,05:12:00,21:02:00,22:45:00,817,50,103,Winter,London - Istanbul,Premium
Vol direct,2 escales,Japan Airlines,Singapore Airlines,Fes,Los Angeles,2023-01-28,2023-03-06,02:44:00,14:53:00,14:13:00,17:53:00,348,729,220,Winter,Los Angeles - Fes,Standard
Vol direct,2 escales,Emirates,Air Canada,London,Amsterdam,2023-03-29,2023-07-23,01:19:00,03:25:00,22:12:00,22:59:00,358,126,47,Spring,Amsterdam - London,Standard
Vol direct,1 escale,British Airways,JetBlue Airways,Rio de Janeiro,Rabat,2023-02-13,2023-07-01,06:43:00,07:38:00,22:04:00,23:37:00,710,55,93,Winter,Rabat - Rio de Janeiro,Premium
Vol direct,1 escale,Qatar Airways,Ryanair,Fes,Rio de Janeiro,2023-03-12,2023-05-31,02:10:00,19:57:00,16:55:00,21:20:00,459,1067,265,Spring,Rio de Janeiro - Fes,Standard
1 esclae,Vol direct,Ryanair,Qatar Airways,Copenhagen,Marrakech,2023-03-04,2023-05-06,03:38:00,22:42:00,12:34:00,20:07:00,222,1144,453,Spring,Marrakech - Copenhagen,Standard
2 esclaes,Vol direct,ANA - All Nippon Airways,Ryanair,Dublin,Barcelona,2023-07-10,2023-07-14,05:59:00,19:28:00,12:05:00,12:58:00,298,809,53,Summer,Barcelona - Dublin,Standard
Vol direct,2 escales,Turkish Airlines,Virgin Atlantic,Paris,Casablanca,2023-01-15,2023-06-30,04:16:00,00:40:00,04:21:00,16:49:00,649,216,748,Winter,Casablanca - Paris,Premium
Vol direct,Vol direct,Singapore Airlines,Emirates,Barcelona,Sydney,2023-07-16,2023-07-26,05:58:00,20:07:00,02:26:00,03:40:00,567,849,74,Summer,Sydney - Barcelona,Premium
1 esclae,Vol direct,Southwest Airlines,Virgin Atlantic,New York,Rio de Janeiro,2023-07-17,2023-07-27,04:49:00,18:27:00,00:25:00,16:37:00,836,818,972,Summer,Rio de Janeiro - New York,Premium
1 esclae,Vol direct,Lufthansa,Delta Air Lines,Rabat,Dublin,2023-04-15,2023-06-29,04:48:00,20:57:00,19:23:00,20:15:00,158,969,52,Spring,Dublin - Rabat,Budget
2 esclaes,2 escales,Cathay Pacific,Turkish Airlines,London,San Francisco,2023-02-23,2023-07-08,04:31:00,19:15:00,19:21:00,19:42:00,710,884,21,Winter,San Francisco - London,Premium
2 esclaes,Vol direct,China Eastern Airlines,Alitalia,Sydney,Athens,2023-06-01,2023-07-21,04:43:00,07:52:00,18:54:00,21:13:00,186,189,139,Summer,Athens - Sydney,Budget
Vol direct,1 escale,Cathay Pacific,Qatar Airways,Dublin,Amsterdam,2023-04-10,2023-04-12,06:11:00,12:16:00,13:08:00,14:26:00,110,365,78,Spring,Amsterdam - Dublin,Budget
